Brown,College,Women,Division I,New England,Greater New England DI,2018-03-07,67,1109,4,3,2018-03-14,73,1094,4,3,2018-03-21,64,1233,4,3,2018-03-28,72,1254,9,3,2018-04-03,64,1223,8,3,2018-06-03,85,1074,12,7
Brandeis,College,Women,Division III,New England,Metro Boston DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,65,1226,5,1,2018-03-28,85,1115,7,6,2018-04-03,80,1098,7,5,2018-06-03,86,1074,12,9
Carleton University,College,Women,Division I,,,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,65,1313,4,3,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,87,1072,4,3
Chico State,College,Women,Division I,Southwest,NorCal DI,2018-03-07,78,989,4,9,2018-03-14,85,974,4,9,2018-03-21,79,1108,4,9,2018-03-28,98,1040,7,13,2018-04-03,102,971,6,13,2018-06-03,88,1068,13,21
Bowdoin,College,Women,Division III,New England,North New England DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,N/A,N/A,N/A,N/A,2018-04-03,75,1131,5,5,2018-06-03,89,1064,8,9
Texas State,College,Women,Division I,South Central,Texas DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,97,1044,4,2,2018-04-03,77,1113,6,2,2018-06-03,90,1063,11,9
Arizona State,College,Women,Division I,Southwest,Desert DI,2018-03-07,107,719,8,4,2018-03-14,115,705,8,4,2018-03-21,102,852,8,4,2018-03-28,91,1076,14,6,2018-04-03,97,1023,10,5,2018-06-03,91,1058,15,11
LSU,College,Women,Division I,Southeast,Gulf Coast DI,2018-03-07,94,795,5,1,2018-03-14,94,882,8,5,2018-03-21,93,914,8,5,2018-03-28,110,960,8,5,2018-04-03,92,1052,8,4,2018-06-03,92,1052,13,12
Northern Arizona,College,Women,Division I,Southwest,Desert DI,2018-03-07,150,202,3,2,2018-03-14,165,189,3,2,2018-03-21,150,335,3,2,2018-03-28,89,1089,8,4,2018-04-03,88,1063,6,3,2018-06-03,93,1046,9,9
Middlebury,College,Women,Division III,New England,North New England DIII,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,N/A,N/A,N/A,N/A,2018-03-28,N/A,N/A,N/A,N/A,2018-04-03,98,1019,7,3,2018-06-03,94,1038,9,9
Illinois,College,Women,Division I,Great Lakes,Illinois DI,2018-03-07,56,1220,2,3,2018-03-14,64,1202,2,3,2018-03-21,55,1322,2,3,2018-03-28,76,1214,2,3,2018-04-03,107,931,6,7,2018-06-03,95,1029,13,14
Tennessee-Chattanooga,College,Women,Division I,Southeast,Southern Appalachian DI,2018-03-07,153,186,4,3,2018-03-14,162,234,4,3,2018-03-21,156,304,7,3,2018-03-28,178,457,7,3,2018-04-03,103,960,7,3,2018-06-03,96,1019,10,6
Towson,College,Women,Division I,Atlantic Coast,Colonial DI,2018-03-07,13,1916,6,0,2018-03-14,13,1916,6,0,2018-03-21,103,849,6,0,2018-03-28,55,1361,10,3,2018-04-03,N/A,N/A,N/A,N/A,2018-06-03,97,1019,17,9
John Brown,College,Women,Division III,South Central,South Central DIII,2018-03-07,76,1005,5,2,2018-03-14,83,981,9,2,2018-03-21,72,1159,9,2,2018-03-28,80,1146,9,2,2018-04-03,81,1095,7,2,2018-06-03,98,1018,13,4
Ball State,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,2018-03-07,N/A,N/A,N/A,N/A,2018-03-14,N/A,N/A,N/A,N/A,2018-03-21,84,1025,7,0,2018-03-28,107,993,12,2,2018-04-03,91,1053,12,2,2018-06-03,99,1016,17,4
California-Santa Cruz,College,Women,Division I,Southwest,NorCal DI,2018-03-07,74,1042,10,8,2018-03-14,80,1027,10,8,2018-03-21,68,1173,10,8,2018-03-28,79,1146,10,8,2018-04-03,85,1082,7,8,2018-06-03,100,1013,14,17
Wisconsin-Eau Claire,College,Women,Division I,North Central,Lake Superior DI,2018-03-07,121,575,3,3,2018-03-14,130,595,3,3,2018-03-21,88,1001,8,5,2018-03-28,105,998,8,5,2018-04-03,94,1042,7,4,2018-06-03,101,1010,13,10
MIT,College,Women,Division I,New England,Metro Boston DI,2018-03-07,81,964,3,3,2018-03-14,82,1003,3,3,2018-03-21,83,1064,3,3,2018-03-28,114,914,3,9,2018-04-03,117,839,2,9,2018-06-03,102,1008,5,18
