82,Bowdoin,1304,College,Men,Division III,New England,North New England DIII,20,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=N4EBNUSqRx8nbPzF%2bMcLhWfy2s2C0J874mUFnKvQLfs%3d
83,Duke,1294,College,Men,Division I,Atlantic Coast,Carolina DI,12,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KCnRCQwhii0AKbVdtUS33aBeNwM9r6S%2bXepLUcrBzRA%3d
84,Penn State,1292,College,Men,Division I,Ohio Valley,West Penn DI,15,21,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=aLU35FAivVTYQwX8qeruYYcDh8V7b%2bVam7xBPMrAaTc%3d
85,Alabama,1290,College,Men,Division I,Southeast,Gulf Coast DI,22,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=hcYTN2Jv%2fhgh84qlI8uGNqo0C65R0A8TEpkthy3wOqE%3d
86,Alabama-Huntsville,1289,College,Men,Division I,Southeast,Gulf Coast DI,19,14,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=AesntFqLhBWyZE%2bSutOdAJe9ZeaoOZ7pUS%2fp%2b%2ffST9Q%3d
87,Delaware,1286,College,Men,Division I,Atlantic Coast,Colonial DI,14,11,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=y3d0XJbR5PT%2fC3JxmENnRBKwMpShwAPG%2bYBtKl80iiQ%3d
88,Michigan State,1282,College,Men,Division I,Great Lakes,Michigan DI,13,9,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2fZFAYn358xlQwkOowdv7%2bHuISWvK4%2fFuZA0acg4ewGQ%3d
89,Lehigh,1280,College,Men,Division I,Ohio Valley,East Penn DI,15,12,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=i1kE84jb8%2fKB%2b4TsQkO6snTovSsX3BeIKiL7a1MrTYQ%3d
90,Purdue,1280,College,Men,Division I,Great Lakes,East Plains DI,18,10,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=T34wSEMT7N7kmXGAPC5XCHCkWJeH53D%2fBlLgtZvrDOY%3d
91,Las Positas,1274,College,Men,Division I,Southwest,NorCal DI,17,7,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=KKJKB1jGsGYRUhzyyNTTm%2frroZQas7YvEmDPhusDayM%3d
92,Rutgers,1274,College,Men,Division I,Metro East,Metro NY DI,20,5,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=%2fKVKRQdt%2bAqvo4TYMjzwkj%2blni8scg%2fvIjDFCqtsNPs%3d
93,Appalachian State,1273,College,Men,Division I,Atlantic Coast,Carolina DI,5,7,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=aBudldoYciQtaOVqsANol%2b4cSGO%2bGLqsw3izC2X%2fis8%3d
94,Bates,1273,College,Men,Division III,New England,North New England DIII,19,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=uY8w2%2fNTFedP4e2u9gaeEzftUmnKDai4U9NOOvTTR8I%3d
95,Cincinnati,1254,College,Men,Division I,Ohio Valley,Ohio DI,15,20,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=P04yljRlBsgPhhtF8rmq0IGmC5JLDKbmnRBetEdq%2fys%3d
96,California-Santa Barbara,1253,College,Men,Division I,Southwest,SoCal DI,17,22,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=3qvgp7kS%2f391aBYKqbFuCKpJVW7NKk%2bwSzyJRVX4cfA%3d
97,California-Davis,1247,College,Men,Division I,Southwest,NorCal DI,19,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=lCAqBlBMWYPy9dgs%2bpInsJFilgXNutNd8umk3ZCaJ1g%3d
98,Whitman,1246,College,Men,Division III,Northwest,Northwest DIII,24,8,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=X%2f3cYcXq296QtuxBJ2EZTxCi%2fSgayMWN9WB%2fRf99%2f3s%3d
99,Amherst,1246,College,Men,Division III,New England,South New England DIII,14,6,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=3RiNiyHX3oN%2fBOcWD%2b91sHe1s4MV9eoWSsCrxKbvbX8%3d
100,Arizona,1245,College,Men,Division I,Southwest,Desert DI,17,13,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=U%2f78Cu94RIoZWKQ04Bu2mzwIwB1%2fC2T0T0%2f%2bs5hOx6I%3d
101,Clemson,1244,College,Men,Division I,Atlantic Coast,Carolina DI,10,15,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=4HnHnrhgGjVoaF%2bgNSUiFYB2%2bB3x6hk8XMYHFoiZHy0%3d
102,Wisconsin-Whitewater,1242,College,Men,Division I,North Central,Lake Superior DI,18,8,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=OYKFFGjqutuoYPFqBi0BUvPwtTQi2JpH0YqaZ%2f8LlNc%3d
103,Georgia College,1237,College,Men,Division III,Southeast,Eastern Southeast DIII,19,6,https://play.usaultimate.org/teams/events/Eventteam/?TeamId=cD5sXeKmzFSRCnjPM%2b15GVyYJJEiK3heO6qvxJvXatY%3d
